STOPCODE,stop_name,total_boardings,lat,lon,POSTCODE,lsoa11cd,lad_code,lad_name,employment_all_30min,hospitals_30min,gp_30min,supermarkets_30min,pharmacies_30min,primary_schools_30min,secondary_schools_30min,main_bua_30min
18673,COLLIERS WOOD STATION,1771.78816,51.417652106956005,-0.17794806420804418,SW19 2NX,E01003367,E09000024,Merton,196280.0,5.0,55.0,30.0,92.0,84.0,14.0,0.0
1868,LOWELL STREET,226.69319,51.5125936938361,-0.03471286088044051,E14 7LA,E01004254,E09000030,Tower Hamlets,1658880.0,11.0,68.0,24.0,127.0,125.0,30.0,0.0
1869,SALMON LANE,222.46284,51.51246737188202,-0.03254208695050317,E14 7LE,E01004254,E09000030,Tower Hamlets,1658880.0,11.0,68.0,24.0,127.0,125.0,30.0,0.0
18732,BRIDGEND ROAD,676.88094,51.4635145905013,-0.18667442001530044,SW18 1TB,E01004509,E09000032,Wandsworth,101745.0,1.0,30.0,9.0,44.0,44.0,11.0,0.0
18832,WARSPITE ROAD,444.29008,51.49240801394312,0.04660358735373547,SE18 5PG,E01001711,E09000011,Greenwich,64185.0,3.0,20.0,17.0,33.0,32.0,8.0,0.0
18834,PROSPECT VALE,631.54474,51.492214661751476,0.05149288647874691,SE18 5NQ,E01001713,E09000011,Greenwich,65735.0,3.0,20.0,17.0,35.0,32.0,8.0,0.0
1885,NEW CITY ROAD,556.48814,51.52790087405085,0.0322064736760774,E13 9EZ,E01003606,E09000025,Newham,151970.0,7.0,57.0,19.0,80.0,75.0,21.0,0.0
18860,CAMDEN PARK ROAD,255.61923,51.546309050216315,-0.12663226265322555,N7 9QE,E01000865,E09000007,Camden,1507800.0,18.0,80.0,39.0,173.0,101.0,25.0,1.0
189,MARBLE ARCH / BAYSWATER ROAD,738.66421,51.51283462556485,-0.16331503493668667,W2 2UH,E01004689,E09000033,Westminster,1959415.0,30.0,93.0,22.0,182.0,88.0,23.0,0.0
1890,DICKENS ROAD,1553.66614,51.53111921263605,0.043653537866441564,E6 3BD,E01003493,E09000025,Newham,93500.0,4.0,44.0,16.0,68.0,65.0,17.0,0.0
19032,BOND STREET,8.05557,51.51190565569267,-0.3059248262770439,W5 5AA,E01001221,E09000009,Ealing,219745.0,5.0,59.0,24.0,89.0,50.0,18.0,0.0
19261,SOUTHGATE ASDA,61.39078,51.63470104688102,-0.13432149525982365,N14 5HU,E01001519,E09000010,Enfield,106040.0,3.0,47.0,19.0,74.0,77.0,24.0,0.0
19262,SOUTHGATE ASDA,319.95174000000003,51.63409485572044,-0.13352270090762342,N14 5HD,E01001519,E09000010,Enfield,106040.0,3.0,47.0,19.0,74.0,77.0,24.0,0.0
1934,WEMBLEY CENTRAL STATION,3171.21322,51.552839530492854,-0.29605293713498526,HA9 7HU,E01000635,E09000005,Brent,158230.0,7.0,54.0,18.0,92.0,64.0,20.0,0.0
19752,WIDMORE ROAD / KENTISH WAY,14.150569999999998,51.40651525938692,0.019788739813307275,BR1 3BD,E01000675,E09000006,Bromley,60965.0,2.0,19.0,13.0,34.0,36.0,11.0,0.0
20251,WHARF ROAD,5.71447,51.64162372453183,-0.028574960077289133,EN3 4TA,E01001510,E09000010,Enfield,36360.0,0.0,12.0,8.0,18.0,24.0,7.0,0.0
20283,ORCHARD ROAD,187.48887,51.48903056201767,-0.30851570950004,TW8 0QT,E01002684,E09000018,Hounslow,131350.0,3.0,30.0,19.0,46.0,32.0,12.0,0.0
2045,THE EAST LONDON MOSQUE,329.59635000000003,51.51783712126907,-0.06504410302923837,E1 1JE,E01004325,E09000030,Tower Hamlets,1969855.0,19.0,88.0,25.0,161.0,130.0,34.0,0.0
2059,COBORN ROAD,565.49607,51.52605917907237,-0.029563118424120127,E3 4SF,E01004269,E09000030,Tower Hamlets,1840790.0,20.0,118.0,38.0,202.0,169.0,43.0,0.0
2068,WARTON ROAD,1259.32474,51.53465404008975,-0.0065540703857010765,E15 2NE,E01033578,E09000025,Newham,343055.0,6.0,57.0,15.0,94.0,87.0,25.0,0.0
2070,STRATFORD HIGH ST STN  / CARPENTERS RD,513.83847,51.53688893491671,-0.003658982855804353,E15 2JG,E01033583,E09000025,Newham,426790.0,7.0,84.0,28.0,129.0,122.0,36.0,0.0
20760,STRATFORD HIGH ST / CARPENTERS ROAD,424.64586,51.537338052535276,-0.0025722562298062914,E15 2TF,E01033583,E09000025,Newham,426790.0,7.0,84.0,28.0,129.0,122.0,36.0,0.0
20813,HAMLET ROAD,310.76699,51.415757839207394,-0.07191768405591721,SE19 2AS,E01000740,E09000006,Bromley,50185.0,0.0,32.0,23.0,40.0,44.0,10.0,0.0
20917,EUSTON STATION,1739.18111,51.5264997550412,-0.13290921572542697,NW1 2AE,E01000854,E09000007,Camden,2598570.0,40.0,187.0,77.0,353.0,245.0,54.0,1.0
20991,WEMBLEY PARK STATION,2360.39,51.563685409518946,-0.2788825220562915,HA9 9JP,E01000482,E09000005,Brent,122705.0,4.0,44.0,22.0,80.0,49.0,16.0,0.0
20992,WEMBLEY PARK STATION,1035.76055,51.56352554140756,-0.27901840749364654,HA9 9JP,E01000482,E09000005,Brent,122705.0,4.0,44.0,22.0,80.0,49.0,16.0,0.0
20993,WEMBLEY PARK STATION,3665.52356,51.563699999934734,-0.27865112720935237,HA9 9AG,E01000482,E09000005,Brent,122705.0,4.0,44.0,22.0,80.0,49.0,16.0,0.0
21602,WATERSIDE,97.61155,51.45280762144432,0.17958361768007883,DA1 4JD,E01000378,E09000004,Bexley,43250.0,0.0,12.0,10.0,23.0,26.0,6.0,0.0
2225,DEPTFORD PARK SCHOOL,536.25448,51.488258224087986,-0.03892847501166131,SE8 5SG,E01003250,E09000023,Lewisham,206285.0,2.0,22.0,13.0,36.0,43.0,13.0,0.0
23118,CRAYFORD TOWN HALL,389.95154,51.45037181569079,0.18096445136846828,DA1 4LD,E01000378,E09000004,Bexley,43250.0,0.0,12.0,10.0,23.0,26.0,6.0,0.0
23927,COLLIERS WOOD STATION,634.88416,51.41855666943752,-0.17771074373240786,SW19 2HR,E01003367,E09000024,Merton,196280.0,5.0,55.0,30.0,92.0,84.0,14.0,0.0
2421,MILLBANK,255.79019,51.49477197690964,-0.12657064491035844,SW1P 2AW,E01004745,E09000033,Westminster,1784560.0,28.0,99.0,32.0,200.0,119.0,27.0,0.0
2449,DOWNHAM ROAD,170.19538,51.540292461378456,-0.08537672421013345,N1 3JF,E01001752,E09000012,Hackney,943225.0,6.0,56.0,20.0,89.0,72.0,17.0,0.0
25069,HAMPSTEAD ROAD / DRUMMOND STREET,663.94512,51.52605282512302,-0.1387371830126885,NW1 2PB,E01000950,E09000007,Camden,2173525.0,30.0,99.0,38.0,221.0,119.0,31.0,1.0
25092,NOEL ROAD,192.80852,51.51956898689297,-0.26483508830477276,W3 6TQ,E01001238,E09000009,Ealing,137735.0,3.0,33.0,9.0,52.0,34.0,9.0,0.0
25130,EAGLE WHARF ROAD,636.01909,51.53469148187246,-0.08876950728030975,N1 7EJ,E01001782,E09000012,Hackney,1298350.0,10.0,59.0,16.0,115.0,80.0,16.0,0.0
25270,EAST INDIA DOCK ROAD,950.49869,51.51288517647897,-0.02796985143437637,E14 7DL,E01004252,E09000030,Tower Hamlets,1082980.0,7.0,44.0,18.0,95.0,96.0,25.0,0.0
25511,SWANDON WAY,174.58671,51.462008999320496,-0.18700761789518053,SW18 1JT,E01004509,E09000032,Wandsworth,101745.0,1.0,30.0,9.0,44.0,44.0,11.0,0.0
25515,CHATFIELD ROAD,324.77381,51.465236123110095,-0.1805451162989796,SW11 3SD,E01033101,E09000032,Wandsworth,106075.0,1.0,34.0,13.0,45.0,42.0,12.0,0.0
25519,HOPE STREET / PLANTATION WHARF PIER,196.84228,51.46617065100864,-0.17934177719011596,SW11 3TZ,E01033101,E09000032,Wandsworth,106075.0,1.0,34.0,13.0,45.0,42.0,12.0,0.0
25554,GREAT SUFFOLK STREET,70.22729,51.50122270518691,-0.09826757759695033,SE1 0ED,E01003927,E09000028,Southwark,2494905.0,31.0,133.0,52.0,255.0,188.0,44.0,0.0
25555,GREAT SUFFOLK STREET,105.9261,51.50063204785175,-0.09899816454576937,SE1 0DT,E01003927,E09000028,Southwark,2494905.0,31.0,133.0,52.0,255.0,188.0,44.0,0.0
25556,MARSHALSEA ROAD,76.51948,51.5027502723541,-0.09653256144402372,SE1 0EY,E01003927,E09000028,Southwark,2494905.0,31.0,133.0,52.0,255.0,188.0,44.0,0.0
2573,RODNEY PLACE,1189.6969,51.49416857634571,-0.09470034576977546,SE17 1GW,E01032720,E09000028,Southwark,2197210.0,24.0,93.0,45.0,186.0,136.0,37.0,0.0
2574,RODNEY PLACE,1380.63902,51.49421828477084,-0.09443896298125884,SE1 6AL,E01032720,E09000028,Southwark,2197210.0,24.0,93.0,45.0,186.0,136.0,37.0,0.0
25908,CREEK ROAD / NORMAN ROAD,633.97813,51.48136280278315,-0.013934051012742556,SE10 9FR,E01001640,E09000011,Greenwich,261445.0,4.0,40.0,26.0,67.0,79.0,20.0,0.0
25936,TOWER BRIDGE ROAD,118.18105,51.50281835919369,-0.07810081434097359,SE1 2JX,E01004027,E09000028,Southwark,1948505.0,15.0,65.0,33.0,131.0,112.0,31.0,0.0
25939,LAVINGTON STREET,92.67897,51.50535895004586,-0.09880143764288872,SE1 0HX,E01003927,E09000028,Southwark,2494905.0,31.0,133.0,52.0,255.0,188.0,44.0,0.0
26015,MORDEN HILL,59.50958,51.469269889281136,-0.01353776493804999,SE13 7NL,E01003296,E09000023,Lewisham,323575.0,7.0,34.0,29.0,62.0,71.0,13.0,0.0
26199,FINCHLEY GOLF CLUB,71.53855,51.61139289078546,-0.20467626074360895,NW7 1FH,E01000262,E09000003,Barnet,50015.0,4.0,23.0,5.0,33.0,31.0,6.0,1.0
26370,BLYTH ROAD,0.0,51.50387839221177,-0.42084369523883464,UB3 1BY,E01002407,E09000017,Hillingdon,71675.0,0.0,29.0,14.0,44.0,34.0,9.0,0.0
26375,CLARENDON ROAD,12.04253,51.50460813730317,-0.4229509769349698,UB3 1BA,E01002407,E09000017,Hillingdon,71675.0,0.0,29.0,14.0,44.0,34.0,9.0,0.0
26699,WOOLWICH ROAD / CHARLTON LANE,259.69436,51.49010402484597,0.03896653973511257,SE7 8SQ,E01001711,E09000011,Greenwich,64185.0,3.0,20.0,17.0,33.0,32.0,8.0,0.0
26701,CHARLTON STATION / WOOLWICH ROAD,425.38688,51.48836715011466,0.03282474217851191,SE7 7RJ,E01001711,E09000011,Greenwich,64185.0,3.0,20.0,17.0,33.0,32.0,8.0,0.0
26747,ELEPHANT & CASTLE / NEW KENT ROAD,1080.62352,51.495060993222054,-0.09871132538528253,SE1 6DT,E01032720,E09000028,Southwark,2197210.0,24.0,93.0,45.0,186.0,136.0,37.0,0.0
26796,FARINGDON AVENUE / ASHTON ROAD,61.88493,51.59825973296528,0.21887190836812037,RM3 8SP,E01002293,E09000016,Havering,30795.0,0.0,13.0,4.0,12.0,14.0,6.0,0.0
27341,WILLENHALL DRIVE,126.08824,51.51474427914259,-0.4257716053017821,UB3 2UT,E01002504,E09000017,Hillingdon,42425.0,2.0,16.0,5.0,20.0,24.0,6.0,0.0
27344,PRINTING HOUSE LANE,28.50369,51.509930027589405,-0.42283928134746057,UB3 2AE,E01002406,E09000017,Hillingdon,65475.0,2.0,27.0,14.0,41.0,35.0,8.0,0.0
27400,ELEPHANT & CASTLE / NEW KENT ROAD,3076.69218,51.494857801371424,-0.0978265890885771,SE1 6AS,E01032720,E09000028,Southwark,2197210.0,24.0,93.0,45.0,186.0,136.0,37.0,0.0
27519,CRYSTAL PALACE STATION,731.46746,51.417824237107276,-0.07398804585552048,SE19 2BA,E01000740,E09000006,Bromley,50185.0,0.0,32.0,23.0,40.0,44.0,10.0,0.0
27769,SOUTHGATE POLICE STATION,123.80974,51.63323736321496,-0.1304944861455923,N14 5PH,E01001519,E09000010,Enfield,106040.0,3.0,47.0,19.0,74.0,77.0,24.0,0.0
27851,SOUTHGATE STATION,0.0,51.63215696865147,-0.128154701857063,N14 5BJ,E01001519,E09000010,Enfield,106040.0,3.0,47.0,19.0,74.0,77.0,24.0,0.0
28236,CRAYFORD BRIDGE,286.65523,51.45098152159026,0.1796117794620866,DA1 4HA,E01000378,E09000004,Bexley,43250.0,0.0,12.0,10.0,23.0,26.0,6.0,0.0
2878,TOLLGATE ROAD,47.38712,51.516482404028686,0.060424104744629496,E6 6LA,E01003482,E09000025,Newham,62205.0,3.0,17.0,12.0,31.0,31.0,9.0,0.0
2880,ALBATROSS CLOSE,139.91986,51.518442150359434,0.0599504079075173,E6 6LP,E01003482,E09000025,Newham,62205.0,3.0,17.0,12.0,31.0,31.0,9.0,0.0
29139,CURZON CRESCENT,47.38864,51.52761039992055,0.0957291323973708,IG11 0NF,E01000092,E09000002,Barking and Dagenham,53045.0,2.0,22.0,14.0,29.0,20.0,6.0,0.0
29140,BASTABLE AVENUE / RIVER ROAD,279.72907,51.52740120514291,0.09485450716449145,IG11 0ES,E01000092,E09000002,Barking and Dagenham,53045.0,2.0,22.0,14.0,29.0,20.0,6.0,0.0
2943,ACTON MAIN LINE STATION,139.49659,51.51748576524078,-0.26625468114357537,W3 6TG,E01001238,E09000009,Ealing,137735.0,3.0,33.0,9.0,52.0,34.0,9.0,0.0
2952,OCEAN ESTATE,494.69328,51.522291785012186,-0.04248310827957681,E1 4RD,E01004262,E09000030,Tower Hamlets,1296555.0,10.0,65.0,20.0,122.0,107.0,33.0,0.0
29620,ST MARY'S CHURCH / PUTNEY PIER,979.60261,51.46533268240041,-0.2143162236265076,SW15 1SN,E01033093,E09000032,Wandsworth,95215.0,2.0,27.0,11.0,41.0,35.0,9.0,0.0
29622,LONDON HILTON HOTEL,2229.61533,51.50508722195614,-0.1521278530091472,W1K 7AN,E01004689,E09000033,Westminster,1959415.0,30.0,93.0,22.0,182.0,88.0,23.0,0.0
29623,DORCHESTER HOTEL,675.74025,51.50830354122598,-0.15479335118810322,W1K 7AN,E01004689,E09000033,Westminster,1959415.0,30.0,93.0,22.0,182.0,88.0,23.0,0.0
29629,MARBLE ARCH,2105.69701,51.51159673392784,-0.15834962856692855,W2 2UH,E01004689,E09000033,Westminster,1959415.0,30.0,93.0,22.0,182.0,88.0,23.0,0.0
29687,CLEVELEY CLOSE,299.84695,51.4914134996506,0.04226620524011206,SE7 8LQ,E01001711,E09000011,Greenwich,64185.0,3.0,20.0,17.0,33.0,32.0,8.0,0.0
29730,HAGGERSTON STATION,1142.20059,51.53822014423637,-0.07688377267631974,E8 4DL,E01001754,E09000012,Hackney,867495.0,8.0,56.0,19.0,99.0,95.0,25.0,0.0
