borough,STOPCODE,alpha
Barnet,26171,0.62101084
Barnet,26172,0.62096125
Barnet,26173,0.6402716
Barnet,26174,0.6402313
Barnet,26196,0.62502265
Barnet,26200,0.53894925
Barnet,26202,0.49302945
Barnet,26484,0.61076355
Barnet,2664,0.5501083
Barnet,26884,0.57704616
Barnet,26886,0.6307274
Barnet,26985,0.5448594
Barnet,26986,0.5558076
Barnet,27454,0.4567916
Barnet,27455,0.5718233
Barnet,27459,0.5831859
Barnet,27476,0.5748035
Barnet,27477,0.57229394
Barnet,27559,0.5835172
Barnet,27562,0.5396554
Barnet,27563,0.5357792
Barnet,2758,0.5450764
Barnet,2759,0.47658512
Barnet,27596,0.71426207
Barnet,27597,0.7172862
Barnet,27598,0.58819205
Barnet,27599,0.5957755
Barnet,2760,0.51014346
Barnet,2761,0.55123866
Barnet,27625,0.57858574
Barnet,2763,0.46438286
Barnet,2764,0.47857708
Barnet,2765,0.46528137
Barnet,2766,0.5124831
Barnet,2767,0.52505654
Barnet,2768,0.54474723
Barnet,2770,0.49265245
Barnet,2771,0.4971371
Barnet,2773,0.51621604
Barnet,2774,0.5269681
Barnet,2775,0.49157286
Barnet,2776,0.5061448
Barnet,27781,0.4681379
Barnet,27787,0.4934881
Barnet,27880,0.5187826
Barnet,27912,0.5510632
Barnet,2795,0.5314604
Barnet,2796,0.5693735
Barnet,27971,0.4989109
Barnet,2799,0.5193387
Barnet,2800,0.5456284
Barnet,2801,0.4814787
Barnet,28900,0.493525
Barnet,29171,0.5090594
Barnet,29295,0.5672368
Barnet,29581,0.5190513
Barnet,29600,0.53334475
Barnet,29699,0.5013759
Barnet,2970,0.49287412
Barnet,29701,0.5494396
Barnet,29704,0.6123468
Barnet,29705,0.52029073
Barnet,29706,0.5803257
Barnet,29707,0.5767537
Barnet,29708,0.5458218
Barnet,29709,0.6344771
Barnet,2971,0.4638564
Barnet,29710,0.5007873
Barnet,29711,0.50515974
Barnet,29712,0.5406654
Barnet,29713,0.5007321
Barnet,29714,0.5303479
Barnet,29715,0.52386945
Barnet,29716,0.546131
Barnet,2972,0.4279213
Barnet,2976,0.6030141
Barnet,2978,0.5287857
Barnet,2982,0.5601586
Barnet,29833,0.5232942
Barnet,29834,0.5242657
Barnet,2990,0.5211193
Barnet,29919,0.54420185
Barnet,3193,0.5508209
Barnet,3195,0.6605115
Barnet,3196,0.66042995
Barnet,3295,0.56252956
Barnet,33152,0.60368013
Barnet,33333,0.47725555
Barnet,33334,0.47547632
Barnet,33355,0.5496011
