STOPCODE,stop_name,total_boardings,n_route_dir_qhr_rows
11216,ALEXANDRA PALACE PARK,13.765809999999998,82
11220,RUTLAND GARDENS,98.00022,267
11221,KNIGHTSBRIDGE BARRACKS,383.82185,262
11222,PRINCE OF WALES GATE,208.66516,265
11223,PRINCE OF WALES GATE,146.08904,262
11224,QUEEN'S GATE,440.50565,263
11226,CHELSEA FOOTBALL CLUB,226.44566,250
11227,CHELSEA FOOTBALL CLUB,157.06503,249
11230,RADIPOLE ROAD,402.44530000000003,217
11231,RADIPOLE ROAD,134.54896,221
11232,FULHAM PALACE ROAD,384.49372,173
11233,FULHAM PALACE ROAD,30.08091,172
11234,MULGRAVE ROAD,239.60881,273
11235,NORTH END ROAD,584.25861,269
11239,FULHAM POOLS,183.94998,273
11240,FULHAM CROSS,715.4418000000001,268
11242,FULHAM CROSS,1005.1921,501
11243,SHORROLDS ROAD,144.3715,187
